Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,6/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,AUS,"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,1.507736418,1.295702373,0.74906367,0.684857442,1.283041682,1.219470538,1.079034548,1.342531631,0.565180346,0.596188374,1.165149665,3.366697519,1.906858704,0.99750155,2.854796368,4.532966918,2.901452132,3.633119403,3.343703663,3.482008721,4.489290702,3.468651329,3.713018173,2.87485332,4.227917018,3.613660682,3.342232533,2.51035955,2.191400858,2.407963899,2.826275065,1.548105523,1.234623363,1.584802445,1.393336296,0.875668991,1.791864817,2.20943619,1.872615778,1.823393875,1.962195794,2.245981917,2.075506228,0.997795488,1.40875101,0.935937506,0.859170727,0.527479019,0.546251514,0.932143601,0.558388018,0.628965165,0.671404887,0.764038672,0.683552077,0.553066177,0.395993868,0.437787895,0.41297524,0.282418565,
Australia,AUS,Export volume index (2000 = 100),TX.QTY.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,101.1382236,101.7721211,100.2981296,104.9844289,108.64305,110.9482517,113.6745514,120.1852884,114.2045513,128.7716652,129.9257501,132.6671009,140.9695571,148.6873009,153.7372301,164.9792748,164.3658382,172.7636294,173.6512,
Australia,AUS,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS,4.083500392,4.328475007,4.195425633,4.434689859,4.108556351,3.918613414,4.646713977,4.471011185,4.151966048,4.162895319,3.314856275,3.126980486,3.390651729,3.954448011,3.455672514,3.057144257,3.815462016,4.61214442,4.402333749,4.995406303,5.671534649,5.545991964,6.329819867,4.603080849,5.264480609,4.522872623,5.003811382,6.050243945,6.125088558,6.619453634,7.234498483,10.2423878,12.33834237,12.72343326,12.30729974,12.60048463,13.78045076,15.21098764,16.53969873,17.74006563,20.21591243,21.26515444,22.452568,24.00630515,25.56586808,27.18552998,29.10401374,30.46777166,30.41766773,33.17868832,34.11871826,31.84077667,32.26930082,33.9754735,35.8007665,37.14824015,38.26133083,36.89936585,38.81812722,38.93836138,
Australia,AUS,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.93,,4.6,,,4.3,4.24,4.09,3.9,3.66,1.06,1.08,1.08,1.08,1.08,1.03,1.13,3.84,1.12,1.11,1.12,0.99,0.99,0.98,0.98,0.98,0.99,0.98,0.98,
Australia,AUS,"Tariff rate, most favored nation, simple mean, manufactured products (%)",TM.TAX.MANF.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.92,,11.42,,,7.64,7.26,6.9,6.56,6.15,5.1,5.11,5.11,5.11,4.19,4.21,4.23,4.21,4.22,3.32,3.28,3.3,3.29,3.29,3.03,3.03,3.04,3.04,2.97,
Australia,AUS,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3726000,4165000,4318000,4167000,4459000,4931000,4856000,4841000,4746000,5215000,5499000,5532000,5644000,5586000,5490000,5790000,5771000,6032000,6482000,6922000,7449000,8269000,8815000,9246000,9466000,
Australia,AUS,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.51327222,49.54403841,49.57700626,49.60999722,49.64043386,49.66658375,49.68770168,49.70445334,49.71906654,49.73433435,49.75234952,49.77267165,49.7949172,49.8206717,49.85191363,49.88930023,49.9343127,49.98511624,50.03540148,50.07698604,50.10439801,50.1156339,50.11367427,50.10420777,50.09495463,50.09140896,50.09395272,50.10090428,50.11247696,50.12859587,50.14867988,50.17417587,50.2040233,50.23188667,50.24988586,50.25290552,50.23847021,50.20959412,50.17357537,50.14039407,50.11675264,50.10581059,50.10489468,50.10793581,50.10644048,50.09516297,50.07165929,50.04010023,50.00928873,49.99058887,49.99084392,50.01227704,50.05031665,50.09644844,50.13919057,50.17087434,50.18947183,50.19795914,50.19962324,50.19953419,50.20123819
Australia,AUS,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,8.610617613,8.630203592,8.640326692,8.64249531,8.635085083,8.618688178,8.543411677,8.461122224,8.37843035,8.303780105,8.243892731,8.345744649,8.441925131,8.540400486,8.652742957,8.785701715,8.937622289,9.117669849,9.308300047,9.481558315,9.623779981,9.782122416,9.894376905,9.98633663,10.09543696,10.24051654,10.37846727,10.54506139,10.7255206,10.89919947,11.05874988,11.2564488,11.43516962,11.59380351,11.73354832,11.85705678,11.96580271,12.05933101,12.1434629,12.22798199,12.32367377,12.41530462,12.51592156,12.62689074,12.74558218,12.87112447,12.92659959,12.98192935,13.05873886,13.18565421,13.37655581,13.63030821,13.93028835,14.25265706,14.56531719,14.85461069,15.1411186,15.40402089,15.65647523,15.92120175,16.21305807
Australia,AUS,"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y,6.429710498,6.439502389,6.534089374,6.669196759,6.77918714,6.825968295,6.825104532,6.790386151,6.72063782,6.6155293,6.474677114,6.266069454,6.031107601,5.809229164,5.647115208,5.564575627,5.490743534,5.482558379,5.516923076,5.5637174,5.610106924,5.697987108,5.781167239,5.879703298,6.028024409,6.242313737,6.483065169,6.790278939,7.112216642,7.372538255,7.530949134,7.595825552,7.569967867,7.49728392,7.440370954,7.430480673,7.41503311,7.426217883,7.459812935,7.505906456,7.563473606,7.635249683,7.725685441,7.805646059,7.832756156,7.784256493,7.605429938,7.367809204,7.128246797,6.95408759,6.872835392,6.847576573,6.891511532,6.955166929,6.975726813,6.929672115,6.836083984,6.682758284,6.514957933,6.401920883,6.381541309
